Date      , 20H.Beta.V2_table, 20I.Alpha.V1_table, 20J.Gamma.V3_table, 21A.Delta_table, 21K.Omicron_table, Total_Sequences, 20H.Beta.V2_mutations, 20I.Alpha.V1_mutations, 20J.Gamma.V3_mutations, 21A.Delta_mutations, 21K.Omicron_mutations
2021-01-22,              17.0,              120.0,             2892.0,             0.0,               0.0,          3029.0,                    20,                     18,                     20,                  20,                    20
2021-01-23,             251.0,              332.0,              855.0,             0.0,               0.0,          1438.0,                    20,                     18,                     20,                  20,                    20
2021-01-24,             433.0,                7.0,             3019.0,             0.0,               0.0,          3459.0,                    20,                     18,                     20,                  20,                    20
2021-01-25,              21.0,                0.0,              572.0,             0.0,               0.0,           593.0,                    20,                     18,                     20,                  20,                    20
2021-01-26,               0.0,               55.0,                0.0,             0.0,               0.0,            55.0,                    20,                     18,                     20,                  20,                    20
2021-01-27,              17.0,               35.0,              413.0,             0.0,               0.0,           465.0,                    20,                     18,                     20,                  20,                    20
2021-01-28,               0.0,                7.0,              115.0,             0.0,               0.0,           122.0,                    20,                     18,                     20,                  20,                    20
2021-01-29,             139.0,               29.0,                0.0,             0.0,               0.0,           168.0,                    20,                     18,                     20,                  20,                    20
2021-01-30,               0.0,               67.0,                0.0,             0.0,               0.0,            67.0,                    20,                     18,                     20,                  20,                    20
2021-01-31,            3046.0,                0.0,             2298.0,             0.0,               0.0,          5344.0,                    20,                     18,                     20,                  20,                    20
2021-02-01,               1.0,                3.0,               18.0,             0.0,               0.0,            22.0,                    20,                     18,                     20,                  20,                    20
2021-02-02,               0.0,             9947.0,             1075.0,             0.0,               0.0,         11022.0,                    20,                     18,                     20,                  20,                    20
2021-02-03,              73.0,              795.0,                0.0,             0.0,               0.0,           868.0,                    20,                     18,                     20,                  20,                    20
2021-02-04,               0.0,                3.0,              229.0,             0.0,               0.0,           232.0,                    20,                     18,                     20,                  20,                    20
2021-02-05,              27.0,                0.0,                0.0,             0.0,               0.0,            27.0,                    20,                     18,                     20,                  20,                    20
2021-02-06,               0.0,              162.0,                0.0,             0.0,               0.0,           162.0,                    20,                     18,                     20,                  20,                    20
2021-02-07,             200.0,                0.0,               83.0,             0.0,               0.0,           283.0,                    20,                     18,                     20,                  20,                    20
2021-02-08,              75.0,                0.0,                0.0,             0.0,               0.0,            75.0,                    20,                     18,                     20,                  20,                    20
2021-02-09,              49.0,              171.0,              189.0,             0.0,               0.0,           409.0,                    20,                     18,                     20,                  20,                    20
2021-02-10,              35.0,                0.0,                0.0,             0.0,               0.0,            35.0,                    20,                     18,                     20,                  20,                    20
2021-02-11,               1.0,                0.0,                0.0,             0.0,               0.0,             1.0,                    20,                     18,                     20,                  20,                    20
2021-02-12,               0.0,              509.0,                0.0,             0.0,               0.0,           509.0,                    20,                     18,                     20,                  20,                    20
2021-02-13,              13.0,                0.0,                0.0,             0.0,               0.0,            13.0,                    20,                     18,                     20,                  20,                    20
2021-02-14,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-02-15,               0.0,                0.0,              120.0,             0.0,               0.0,           120.0,                    20,                     18,                     20,                  20,                    20
2021-02-16,              76.0,                0.0,                0.0,             0.0,               0.0,            76.0,                    20,                     18,                     20,                  20,                    20
2021-02-17,              33.0,               50.0,              212.0,             0.0,               0.0,           295.0,                    20,                     18,                     20,                  20,                    20
2021-02-18,               0.0,              156.0,                1.0,             0.0,               0.0,           157.0,                    20,                     18,                     20,                  20,                    20
2021-02-19,               0.0,                0.0,              847.0,             0.0,               0.0,           847.0,                    20,                     18,                     20,                  20,                    20
2021-02-20,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
